category,subcat,style,gauge,length,notes
machine screw,pan head,,#2-56,short,
machine screw,pan head,,#2-56,long,
 ,  , ,#2-56,,
machine screw,pan head,,#4-40,"1/2""",
 , ,,#4-40,,
,,,,,
machine screw,pan head,,#6-32,"1/4""",(also flat)
machine screw,pan head,,#6-32,"3/8""",(also flat)
machine screw,pan head,,#6-32,"1/2""",(also flat)
machine screw,pan head,,#6-32,"3/4""",
machine screw,pan head,,#6-32,"1""",
  , ,,#6-32,,
  , ,,#6-32,,
,,,,,
,,,,,
machine screw,pan head,,#8-32,"1/4""",
machine screw,pan head,,#8-32,"3/8""",
machine screw,pan head,,#8-32,"1/2""",
machine screw,pan head,,#8-32,"3/4""",
machine screw,pan head,,#8-32,"1""",
machine screw,pan head,,#8-32,"1 1/2""",
 , ,,#8-32,,
 , ,,#8-32,,
 , ,,#8-32,,
,,,,,
machine screw,pan head,,#10-24,"1/2""",
machine screw,pan head,,#10-24,"3/4""",
machine screw,pan head,,#10-24,"1""",
 , ,,#10-24,,
machine screw,pan head,,#10-32,"3/8""",(also flat)
machine screw,pan head,,#10-32,"1/2""",(also flat)
machine screw,pan head,,#10-32,"3/4""",(also flat)
 , ,,#10-32,,
 , ,,#10-32,,
,,,,,
machine screw,pan head,,#12-24,"1 1/2""",
,,,,,
machine screw,pan head,,"1/4""-20","1/2""",(also flat)
machine screw,pan head,,"1/4""-20","3/4""",(also flat)
machine screw,pan head,,"1/4""-20","1""",(also flat)
machine screw,pan head,,"1/4""-20","1 1/2""",
machine screw,pan head,,"1/4""-20","2 1/2""",
nut,wing,,"1/4""-20",,
misc, ,,"1/4""-20",,
 , ,,"1/4""-20",,
 , ,,"1/4""-20",,
 , ,,"1/4""-20",,
,,,,,
machine screw,pan head,,"1/4""-28","3/8""",
 ,  ,,"1/4""-28",,
machine screw,pan head,,"5/16""-18","1""",
,,,,,
nut,hex,,#2-56,,
nut,hex,,#4-40,,
nut,hex,,#6-32,,
nut,hex,,#8-32,,
nut,hex,,#10-24,,
nut,hex,,#10-32,,
nut,hex,,#12-24,,
nut,hex,,"1/4""-20",,
nut,hex,,"1/4""-28",,
nut,hex,,"5/16""-18",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
washer,flat,,"5/16""",,
washer,flat,,"3/8""",,
washer,flat,,"1/2""",,
