category,subcat,style,gauge,length,notes
wood screw,flat head,,#6,"3/8""",phillips
wood screw,pan head,,#6,"3/8""",phillips
wood screw,pan head,,#6,"1/2""",phillips
wood screw,flat head,,#6,"5/8""",phillips
wood screw,flat head,,#6,"3/4""",phillips
wood screw,flat head,,#6,"1""",phillips
wood screw,flat head,,#6,"1 1/4""",phillips
drywall screw,flat head,,#6,"1 5/8""",phillips
,,,,,
,,,,,
,,,,,
wood screw,flat head,,#8,"5/8""",phillips
wood screw,flat head,,#8,"1""",phillips
drywall screw,flat head,,#8,"1 1/4""",phillips
wood screw,flat head,,#8,"1 1/2""",phillips
wood screw,flat head,,#8,"2""",phillips
drywall screw,flat head,,#8,"3""",phillips
,,,,,
wood screw,flat head,,#10,"5/8""",phillips
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
wood screw,countersink,,#8,"5/8"" coarse",square drive
wood screw,round head,,#8,"3/4"" fine",square drive
wood screw,countersink,,#8,"3/4"" coarse",square drive
wood screw,round head,,#8,"2 1/2"" coarse",square drive
drywall screw,flat head,,#8,"1 5/8""",phillips
wood screw,round head,,#8,"1 1/4"" coarse",square drive
wood screw,round head,,#8,"1"" coarse",square drive
wood screw,round head,,#8,"1 1/4"" fine",square drive
wood screw,countersink,,#8,"1 1/4"" coarse",square drive
